Book, Verse , Lemma                                                                                                                                                                                                                                                                   , Witness                  , Source                     , Ed. Comment                                                                                                        , Gen. Comment , Second R.                       , Witness                 , Source             , Comment                                                                                  , Third R.                               , Witness         , Source   , Comment                                                                                 , Fourth R.               , Witness        , Source                    , Comment                                                  , Fifth R.         , Witness  , Source , Comment , Sixth R.         , Witness , Source  , Comment                                                                                              , Seventh R. , Witness , Source , Comment                                                                   
10,8, fati                                                                                                                                                                                                                                                                    , **DS** *T *              ,,,, facit                           , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,8, enim alia                                                                                                                                                                                                                                                               ,, *Murgia*                   ,,, nulla                           , *F *                    ,," (*verba* vis...est, *si recte iudico, ab Compilatore addita: cf. quae ad Serv. addidit*) ",,,,,,,,,,,,,,,,,,,,
10,8, maria omnia circum                                                                                                                                                                                                                                                      ,, *Verg.*                    ,,, et reliqua                      , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,8, moturum                                                                                                                                                                                                                                                                 ,, *Thilo*                    ,,, moriturum                       , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,8, aliter*(3)*                                                                                                                                                                                                                                                             , **F**                    ,,,, alter                           , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,8, id est*(2)*                                                                                                                                                                                                                                                             , *F *                     ,, *ex* idem                                                                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,
10,8, in Italia                                                                                                                                                                                                                                                               , ? ? *W *                 ,,,, in italiam                      , ?                       ,,, italiam                                , *N *            ,,,,,,,,,,,,,,,,,,
10,8, facturam                                                                                                                                                                                                                                                                , **?**                    ,,,, staturum                        , **F**                   ,,, futuram                                , ?               ,,,,,,,,,,,,,,,,,,
10,8, adnuit                                                                                                                                                                                                                                                                  , **?**                    , *Glossaria pleraque*       ,,, adnuo                           , **F**                   ,, *(cf. CG L 5.548 ex cod. Cassin. 402*)                                                   ,,,,,,,,,,,,,,,,,,,,
10,8," et Iuno dixit se magis esse facturam. pollicita est se magis esse facturam, ut (7.559) ego, siqua super fortuna laborum est, ipsa regam abnueramautem ‘prohibueram’, ut contra  ABNVERAM ‘prohibueram’, ut contra  adnuo ‘promitto’significat ", **?**                    ,,,, significa et consentio          , **F**                   ,, *sic (fort. in Servio* significat et ‘consentit’)                                        ,,,,,,,,,,,,,,,,,,,,
10,9, vetationem                                                                                                                                                                                                                                                              , **DS** *F Pc*            ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9, est*(2)*                                                                                                                                                                                                                                                                , **?**                    ,,,, *om.*                           , *Ah1 *                  ,,,,,,,,,,,,,,,,,,,,,,
10,9, comminatione                                                                                                                                                                                                                                                            , *T* ?                    ,,,, comminutione                    , ?                       ,,, conmunitione                           , *Q *            ,,, conmitatione            , *Pa *          ,,, conminatione     , *Pah2 *  ,,, commonitione     , *Pb *   ,,, commotione , *E Y *  ,,
10,9, insequebantur                                                                                                                                                                                                                                                           , ?                        ,,,, insequebatur                    , ?                       ,,, sequebantur                            , ? *W *          ,,, sequebantur sequebantur , *N *           ,,,,,,,,,,,,,,
10,10, LACESSERE                                                                                                                                                                                                                                                               , **?**                    ,,,, lacescere                       , **F** ?                 ,, (*sic passim*)                                                                           ,,,,,,,,,,,,,,,,,,,,
10,10, ferro se                                                                                                                                                                                                                                                                , **F ?**                  ,,,, ferro                           , *Pb *                   ,,, ferre                                  , *Pc*            ,, *fort.* ferroque                                                                        ,,,,,,,,,,,,,,,,
10,10, suasit*(1)*                                                                                                                                                                                                                                                             ,, *Verg.*                    ,,, sua siti                        , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,10, aut hos aut hos                                                                                                                                                                                                                                                         ,, *Murgia*                   , (e Verg.)                                                                                                          ,, aut hos                         , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,10, suasit*(2)*                                                                                                                                                                                                                                                             ,, *Verg.*                    ,,, suavit                          , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,10, ????????????                                                                                                                                                                                                                                                            ,, *Dan*.                     ,,, soli quoi des                   , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,10, figura ut Iuturnam                                                                                                                                                                                                                                                      ,, *Dan*.                     ,,, fi? autriturum nam              , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,11, ArCEssitE tEmpvs                                                                                                                                                                                                                                                        , **?**                    ,,,, accersite                       , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,11, praeoccupare                                                                                                                                                                                                                                                            , **?**                    ,,,, praeo aut pare                  , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,11, quo                                                                                                                                                                                                                                                                     , *Pa W *                  ,,,, co                              , **F**                   ,, quod                                                                                     , **?**                                  ,,,,,,,,,,,,,,,,,,,
10,11, praetipue                                                                                                                                                                                                                                                               , *F *                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13, inmittEt                                                                                                                                                                                                                                                                , **?**                    ,,,, inmittit                        , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,13, inmittet                                                                                                                                                                                                                                                                , ? ? *Pb W *              ,,,, inmittit                        , **F** *E Y N U *        ,,,,,,,,,,,,,,,,,,,,,,
10,13, quae*(1)*                                                                                                                                                                                                                                                               , **?**                    ,,,, quia                            , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,13, Italiam*(1)*                                                                                                                                                                                                                                                            , **F ?**                  ,,,, italia                          , *Q *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, XVII                                                                                                                                                                                                                                                                    , **?**                    ,,,, et XVII                         , ?                       ,,, X et VII                               , *W *            ,,, decem et septem         , *N *           ,,,,,,,,,,,,,,
10,13, rupit*(3)*                                                                                                                                                                                                                                                              , **F ?**                  , Isid.                      ,,, rumpit                          ,, *Iuv.*             ,,,,,,,,,,,,,,,,,,,,,
10,13, rupit Poeninae                                                                                                                                                                                                                                                          , **?**                    ,,,, rupit Poenninae                 , **?**                   ,,, rupuit paeninae                        , **F**           ,,, rupit apoeninae         , ?              ,,, rupit Appenninae ,, Isid.  ,,,,,,,,,
10,13, a Poenina                                                                                                                                                                                                                                                               , *F *                     ,,,, appennina                       , *T *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, licet                                                                                                                                                                                                                                                                   , *F *                     ,,,, licite                          , *T *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, vocentur                                                                                                                                                                                                                                                                ,, *Masv.*                    ,,, vocantur                        , *F T *                  ,,,,,,,,,,,,,,,,,,,,,,
10,13, iuga                                                                                                                                                                                                                                                                    , *T *                     ,,,, *om.*                           , *F *                    ,, *spat. relicto*                                                                          ,,,,,,,,,,,,,,,,,,,,
10,13, Gallicorum                                                                                                                                                                                                                                                              , *F *                     ,,,, gallorum                        , *T *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, lygures                                                                                                                                                                                                                                                                 , *T *                     ,,,, leguras                         , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
