Book, Verse , Lemma                                                                                                                                                                                                                                                                   , Witness                  , Source                     , Ed. Comment                                                                                                        , Gen. Comment , Second R.                       , Witness                 , Source             , Comment                                                                                  , Third R.                               , Witness         , Source   , Comment                                                                                 , Fourth R.               , Witness        , Source                    , Comment                                                  , Fifth R.         , Witness  , Source , Comment , Sixth R.         , Witness , Source  , Comment                                                                                              , Seventh R. , Witness , Source , Comment                                                                   
10,205, quia                                                                                                                                                , **?**                            ,,,, qui                                , **F ?**                ,,,,,,,,,,,,,,,,,,,,,,
10,207, grAvis                                                                                                                                              , **?**                            ,,,, Gravis aulestes                    , (=**DS**) **F**        ,,,,,,,,,,,,,,,,,,,,,,
10,207, ut ferit                                                                                                                                            , **?**                            ,,,, ut fert                            , *A*                    ,,, inferet                                         , **F**                  ,,,,,,,,,,,,,,,,,,
10,207, gravem                                                                                                                                              , **?**                            ,,,, grave                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,207, Osirin                                                                                                                                              , **?**                            ,,,, o.                                 , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,207, aut gravis                                                                                                                                          ,, *Dan*.                    ,,, auguis                             , *F *                   ,,, aut etiam gravis                                , *T *                   ,,,,,,,,,,,,,,,,,,
10,207, verberat adsurgens                                                                                                                                  ,, *Verg.*                   ,,, et reliqua                         , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,207, CEntEnAqvE                                                                                                                                          , **F ?** *E Y *                   ,,,, Centanaque                         , *Pb* ?                 ,,,,,,,,,,,,,,,,,,,,,,
10,207, ArBorE                                                                                                                                              , *Pa* **?**                       ,,,, ArBorE. Ita                        , ? *Q *                 ,,, ita                                             , *J *                   ,,, arbore fluctus verberat                                          , (=**DS**) **F**        ,,,,,,,,,,,,,,
10,207, remis sed                                                                                                                                           , ? *Pa Pc* **?**                  ,,,, remisso                            , **?**                  ,,, renis sed                                       , **F**                  ,,,,,,,,,,,,,,,,,,
10,207, navis                                                                                                                                               , **?**                            ,,,, uanis                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,207, petit                                                                                                                                               , **F**                            , *Luc*.                    ,,, ferit                              , **?**                  ,,,,,,,,,,,,,,,,,,,,,,
10,207, remis                                                                                                                                               , **F ?** ? *W *                   ,,,, ramis                              , *N U *                 ,,,,,,,,,,,,,,,,,,,,,,
10,209, triton                                                                                                                                              ,, *Verg.*                   ,,, Trito                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,209, prora                                                                                                                                               , *F *                             ,,,, prora seden                        , *Fh3 *                 ,, *ut vid.*                                                                                                                                                                                                                                          , prora sedens                                    ,, *Dan*.         ,,,,,,,,,,,,,,,,,
10,209, sustinet                                                                                                                                            ,, *Verg.*                   ,,, sustineat                          , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,209, Aetnaeos efflantem faucibus ignes                                                                                                                   ,, *Dan*.                    , (e. Verg.)                                                                                                                                                                                                                                                                                                                                                                 ,, et reliqua                         , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,209, CAErvlA caerula                                                                                                                                     , **?** *W *                       ,,,, Caerula cerulea                    , ?                      ,,, Caerula                                         , *N U *                 ,,,,,,,,,,,,,,,,,,
10,209, nam                                                                                                                                                 , **?**                            ,,,, nam aliter                         , *Pa Pc *               ,,,,,,,,,,,,,,,,,,,,,,
10,209, stat                                                                                                                                                , **?**                            ,,,, status                             , *J *                   ,,,,,,,,,,,,,,,,,,,,,,
10,210, ???? ??? ???????                                                                                                                                    ,, *Dan*.                    ,,, a?????????????                     , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,210, horrida                                                                                                                                             , **?**                            ,,,, *om*.                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,212, sEmiFEro                                                                                                                                            ,, *Verg.*                   ,,, semiferos                          , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,212, incertum                                                                                                                                            ,, *Dan*.                    ,,, incertam                           , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,213, accipiamus naves                                                                                                                                    , **?**                            ,,,, naves accipiamus                   , (=**DS**) **F**        ,,,,,,,,,,,,,,,,,,,,,,
10,213, tricenas                                                                                                                                            , **?**                            ,,,, tricinas                           , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,213, naves*(2)*                                                                                                                                          ,, *Dan*.                    ,,, tiaves                             , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,213, habuisse                                                                                                                                            , **?** ? *W *                     ,,,, habuis                             , **F**                  ,,, *om*.                                           , *N U *                 ,,,,,,,,,,,,,,,,,,
10,213, sequatur                                                                                                                                            , **?**                            ,,,, sequantur                          , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,213, subsidio                                                                                                                                            , **F ?** ? *N *                   ,,,, subsidia                           , *W U *                 ,,,,,,,,,,,,,,,,,,,,,,
10,213, ambitu sed                                                                                                                                          , **?**                            ,,,, ambitus et                         , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,213, constabant                                                                                                                                          , **F ?** ? *W *                   ,,,, constabat                          , *N U *                 ,,,,,,,,,,,,,,,,,,,,,,
10,213, sed                                                                                                                                                 , *F*                              ,," (*i. e., ""*s;""; *fort. S*<VBSIDIO>)                                                                                                                                                                                                                                                                                                                                      ",,,,,,,,,,,,,,,,,,,,,,,,,
10,215, ConCEssErAt                                                                                                                                         ,, *Dan*.                    , (e Verg.)                                                                                                                                                                                                                                                                                                                                                                  ,, et reliqua                         , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,215, e                                                                                                                                                   ,, *Murgia*                  ,,, *om*.                              , *F *                   ,,, in                                              ,, *Masv.*        ,,,,,,,,,,,,,,,,,
10,216, lunae fit sine causa commemoratio: nam aliter nymphae videri                                                                                        , **?**                            ,,,, luna sine                          , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,218, ClAvvmqvE rEgit                                                                                                                                     , **?**                            ,,,, Clavum regit ipse                  , (=**DS**) **F**        ,,,,,,,,,,,,,,,,,,,,,,
10,218, quinto                                                                                                                                              , **F** ? *Pa Pc* **?**            ,,,, quito                              , **?**                  ,,,,,,,,,,,,,,,,,,,,,,
10,218, gubernandi                                                                                                                                          , **F ?**                          ,,,, *om*.                              , *U *                   ,,,,,,,,,,,,,,,,,,,,,,
10,218, dedit                                                                                                                                               , **DS** *F *                      , *seclusi*                 ," *nam ex Servio interpolatum videtur* (*sed potest legi* sicut in quinto libro dedit, gubernandi peritiam; *in Servio fort.* gubernandi dedit peritiam *scribendum est*)                                                                                                                                                                                                    ",,,,,,,,,,,,,,,,,,,,,,,,,
10,219, in                                                                                                                                                  , **?**                            ,,,, *om*.                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,220, CyBEBE                                                                                                                                              , **F ?** *Pb *                    ,,,, Cybele                             , *J Ah2* **?**          ,,,,,,,,,,,,,,,,,,,,,,
10,220, Cybebe*(1)*                                                                                                                                         , *t*                              ,,,, cibebo                             , **F**                  ,,, cybebe vel                                      , **?** *Eh3 Pb Y *      ,,, cybele vel                                                       , *Ah2 Pa E* ? [**?**] ,,, cybele vel               , *E* ,, *(ut vid.*) ,,,,,,,,
10,220, ??? ???                                                                                                                                             , **?**                            ,,,, apo ?on                            , **F**                  ,,, apotu                                           , *t*                    ,,,,,,,,,,,,,,,,,,
10,220, ???????                                                                                                                                             ,, *Murgia*                  ," *(cf. E t. Mag. 543.11* ?? ??? ????, ??????)                                                                                                                                                                                                                                                                                                                               ",, ????????                           ,, *Dan*.                 ,, kyBiCAi                                         , **?**                  ,,, kyBiCtAi                                                         , **F**                  ,, *(cf. F ad A. 3.111* kyBiC?? ?[**?**] cibiste *t* CyBiC?Ai **?** *ad A. 3.111*) ,,,,,,,,,,,,
10,220, ???                                                                                                                                                 , **?**                            ,,,, tvn                                , **F**                  ,,, tin                                             , *t*                    ,,,,,,,,,,,,,,,,,,
10,220, id est capitis rotatione                                                                                                                            , *Fh3 Pa Pc *                     ,, *(cf. F ad A . 3.111*)                                                                                                                                                                                                                                                                                                                                                     ,, id est capitis ratione             , *F *                   ,, *(cf. cod. Trev. Bibl. Civ. 1086 ad A. 3.111*)                                                                                                                                                                                                     , id est a c<apitis ro>tat<ione>              , *Pbh2 *                ,," (apitis ro *et* ione mg. *excisa*, *cf. Serv. ad A. 3.111*)                                                                                                                                    ", id est a rotatione capitis                                       , *t*                    ,,,,,,,,,,,,,,
10,220, Galli                                                                                                                                               , **F** ? **?**                    ,,,, calli                              , **?**                  ,,,,,,,,,,,,,,,,,,,,,,
10,220, per furorem motu capitis                                                                                                                            , **?**                            ,,,, motu capitis per furorem           , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,220, praenuntiabant                                                                                                                                      , **?**                            ,,,, pronunciabant                      , **F**                  ,,, praenuntiabantur                                , *N *                   ,,,,,,,,,,,,,,,,,,
10,220, crinemque                                                                                                                                           , **F ?**                          ,,,, crimenque                          , *J *                   ,,, orinemque                                       , *Pb *                  ,,,,,,,,,,,,,,,,,,
10,220, sanguinei                                                                                                                                           , *Pa Pc* **?**                    ,,,, sagiguinei                         , **F**                  ,,, sang.                                           , **?**                  ,,, sanguineum                                                       ,, codd. *Lucani* , *aliquot*                                                                         ,,,,,,,,,,,,
10,220, populis                                                                                                                                             , *Pa Pc* **?**                    ,,,, populeis                           , **F**                  ,,, populi                                          , *W *                   ,,, pop.                                                             , **?**                  ,,,,,,,,,,,,,,
10,220, *ulularunt tristia Galli*                                                                                                                           , **F** *Pa Pc* **?**              ,,,, ulularunt tristitia Galli          , *Pc E Y N U* [**?**] ,,, u. t. g.                                        , **?**                  ,,,,,,,,,,,,,,,,,,
10,220, Cybebe*(2)*                                                                                                                                         , **F** ? *Pc* ?                   ,,,, c. bebe                            , **?**                  ,,, cybele                                          , *Ah2 Pa* ?             ,,,,,,,,,,,,,,,,,,
10,220, bacchius                                                                                                                                            , *Fh3* **?**                      ,,,, bacchus                            , **F**                  ,,, bachus                                          , *U *                   ,,,,,,,,,,,,,,,,,,
10,220, Cybele                                                                                                                                              , **?**                            ,,,, cibebe                             , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,220, hinc                                                                                                                                                , *Fh3 *                           , *Verg*.                   , **D** *ad A.3.111*                                                                                                                                                                                                                                                                                                                                                         ,, hic                                , **F ?**                ,,,,,,,,,,,,,,,,,,,,,,
10,220, mater*(2)*                                                                                                                                          , *Fh3* **?**                      ,,,, magister                           , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,220, Cybele*(2)*                                                                                                                                         , **?**                            ,,,, cybebe                             , **F**                  ,,, Cybele vel a Cybelo sacerdote dici vel a Cybele , **?** *W *             ,, (dicta *pro* dici *Thilo in app.; cf. Serv. ad* *3.111*)                                                                                                                                       ,,,,,,,,,,,,,,,,
10,223, AErAtAE                                                                                                                                             , **DS**                           , *Verg.*                   ,,, aerata                             , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,225, CymoDoCEA                                                                                                                                           , **?** ?                          ,,,, cymo do                            , **F**                  ,,, *om*.                                           , ? [**?**]            ,,,,,,,,,,,,,,,,,,
10,225," poetice, sicut etiam mutatio ipsa confingitur: ergo doctissima quae divinitus hanc doctrinam fuerit consecuta: nam stultissimum est quod ait quidam ", **F ?** ? *W *                   ,,,, *om.*                              , *N U* [**?**]        ,,,,,,,,,,,,,,,,,,,,,,
10,225, etiam                                                                                                                                               , **?** ? *W *                     ,,,, et                                 , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,225, confingitur                                                                                                                                         , **F** ? ? *Pb Yh3 W *            ,,,, confugitur                         , *J Y *                 ,,, configitur                                      , *Jh2 E *               ,,, *loc. om.*                                                       , *N U* [**?**]        ,,,,,,,,,,,,,,
10,225, consecuta                                                                                                                                           ,, *Dan*.                    ,,, consecutam                         , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,225, ideo doctissima                                                                                                                                     , **?** ?                          ,,,, *om*.                              , ? [**?**]            ,,,,,,,,,,,,,,,,,,,,,,
10,226, quia di se                                                                                                                                          ,, *divisi*                  ,,, qui ad use                         , **F**                  ,,, quia...se dii                                   , *T *                   ,," *(cf. Serv. ad E. 8.102;* quia se di *Compilator scribere debuit, sed cf. quae de T in app. superiore scripsit Murgia+E1120*)                                                                  ",,,,,,,,,,,,,,,,
10,226, videri                                                                                                                                              ,, *Dan*.                    , *Serv. ad E. 8.102*                                                                                                                                                                                                                                                                                                                                                        ,, videre                             , *F T *                 ,,,,,,,,,,,,,,,,,,,,,,
10,226, caput                                                                                                                                               , *T *                             ,,,, *om.*                              , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,226, iace ne                                                                                                                                             , *T *                             ,, *Serv. ad E. 8.102*                                                                                                                                                                                                                                                                                                                                                        ,, iacere                             , *F *                   ,,, iace nec                                        ,, *Verg.*        ,,,,,,,,,,,,,,,,,
10,226, natandi                                                                                                                                             , **?**                            ,,,, natantis                           , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,227, ipsa                                                                                                                                                , *T v *                           ,,,, ipse                               , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,228, aut*(1)*                                                                                                                                            , *T v *                           ,,,, ad                                 , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,228, suae                                                                                                                                                , *T v *                           ,,,, sua                                , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,228, vigilAsnE                                                                                                                                           , **F ?**                          ,,,, vigiliAsnE                         , *Jh1 Pa W *            ,,,,,,,,,,,,,,,,,,,,,,
10,228, AEnEA vigilA                                                                                                                                        , **F**                            ,,,, A.v.                               , **?** *W U *           ,,, a.                                              , *E *                   ,,, *om.*                                                            , *Pb N *                ,,,,,,,,,,,,,,
10,228, vigilasne                                                                                                                                           , **F ?**                          ,,,, vigiliasne                         , *Jh1 Pb Y *            ,,,,,,,,,,,,,,,,,,,,,,
10,228, vigila                                                                                                                                              , **F ?** *Wh2 *                   ,,,, vigilia                            , *W *                   ,,, vigiliae                                        , *N U *                 ,,,,,,,,,,,,,,,,,,
10,228, quod*(2)*                                                                                                                                           , **?**                            ,,,, quia                               , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,228, Aeneae                                                                                                                                              , **?**                            ,,,, aenea                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,228, et quem                                                                                                                                             , **F ?**                          ,,,, quem                               , **?**                  ,,,,,,,,,,,,,,,,,,,,,,
10,228, ubique et                                                                                                                                           , **?**                            ,,,, ubique                             , **F** *Pb *            ,,,,,,,,,,,,,,,,,,,,,,
10,228, deinde                                                                                                                                              , *F *                             ,,,, dein                               , *Pc *                  ,,,,,,,,,,,,,,,,,,,,,,
10,229, rvDEntEs                                                                                                                                            ,, *Verg.*                   ,,, ardentes                           , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,229, odor                                                                                                                                                ,, *Verg.*                   ,,, udor                               , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,229, rudentes                                                                                                                                            ,, *Verg.*                   ,,, radentes                           , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,230, factas                                                                                                                                              , *F *                             ,, *in* faatas                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,,,,,,,,,,,
10,230, ut                                                                                                                                                  , **F ?** ?                        ,,,, et                                 , ?                      ,,,,,,,,,,,,,,,,,,,,,,
10,230, *pinosque loquentes semper habet*                                                                                                                   , **?**                            ,,,, pinos et reliqua                   , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,231, bella                                                                                                                                               , **F** ? ? **?**                  ,,,, bellit                             , *J *                   ,,,,,,,,,,,,,,,,,,,,,,
10,231, volunt                                                                                                                                              , *T *                             ,,,, *om.*                              , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,231, autem                                                                                                                                               , *T *                             ,,,, *om.*                              , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,231, quoniam*(1)*                                                                                                                                        , *F *                             ,,,, quoniam posuit                     , *T *                   ,,,,,,,,,,,,,,,,,,,,,,
10,231, lassus                                                                                                                                              , *T *                             ,,,, lapsus                             , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,231, in Mostellaria                                                                                                                                      , *T *                             ,,,, in mustellaria                     , *T*                    ,,, immo stellaria                                  , *F *                   ,,,,,,,,,,,,,,,,,,
10,231, inpetravi                                                                                                                                           ,, *Plaut*.                  ,,, impetu qui                         , *F *                   ,,, impetu                                          , *T *                   ,,,,,,,,,,,,,,,,,,
10,232, pro*(2)*                                                                                                                                            , *F *                             ,,,, *om.*                              , *T v *                 ,,,,,,,,,,,,,,,,,,,,,,
10,231, praecipitanter                                                                                                                                      , *T v *                           ,,,, praecipitantur                     , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,233, continuo                                                                                                                                            , *T *                             ,,,, continue                           , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,233, invitAE                                                                                                                                             , **?**                            ,,,, invitae tua vincula                , **F**                  ,,, *om.*                                           , *T *                   ,,,,,,,,,,,,,,,,,,
10,233, ac si                                                                                                                                               , **F ?**                          ,,,, quasi                              , *T *                   ,,,,,,,,,,,,,,,,,,,,,,
10,233, numina                                                                                                                                              , *T* **?**                        ,,,, nomina                             , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,233, teqve per aeqvor qvaerimvs                                                                                                                          , **?**                            ,,,, tEqvE...q:                         , **F**                  ,,, *om.*                                           , *T *                   ,,,,,,,,,,,,,,,,,,
10,233, vagandi                                                                                                                                             , **?** ? *W *                     ,,,, vacandi                            , *N U *                 ,,,,,,,,,,,,,,,,,,,,,,
10,233, possimus                                                                                                                                            , **?** ?                          ,,,, possumus                           , *N U *                 ,,, possemus                                        , *W *                   ,,,,,,,,,,,,,,,,,,
10,234, re                                                                                                                                                  , **F ?**                          ,,,, re revera                          , ?                      ,,,,,,,,,,,,,,,,,,,,,,
10,234, vacat                                                                                                                                               , **F ?**                          ,,,, vocat                              , *A Pah1 *              , *Pc *                  ,,,,,,,,,,,,,,,,,,,,,
10,234, navium                                                                                                                                              , **?**                            ,,,, navum                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,234, in his erat                                                                                                                                         , **DS**                           , *Murgia*                  ,,, iniserat                           , *F *                   ,, (*scribi potest et* in eis erat)                                                                                                                                                                                                                   ,,,,,,,,,,,,,,,,,,,,
10,234, aliam                                                                                                                                               ,, *Murgia*                  ,,, altam                              , *F *                   ,,, alteram                                         ,, *Dan*.         ,,,,,,,,,,,,,,,,,
10,235, DEDit                                                                                                                                               , **?**                            ,,,, Et dedit                           , (=**DS**) **F**        ,,,,,,,,,,,,,,,,,,,,,,
10,235," aevvm inmortalitatem. agitare ???????, hoc est agere                                                                                                ", *F Pc *                          ,, *cf. T v *                                                                                                                                                                                                                                                                                                                                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,
10,235, ???????                                                                                                                                             ,, *Dan*.                    ,,, diatein                            , *F *                   ,,, *om.*                                           , *T v Pc *              ,,,,,,,,,,,,,,,,,,
10,235, hoc est                                                                                                                                             , *F *                             ,,,, *om.*                              , *T v Pc *              ,,,,,,,,,,,,,,,,,,,,,,
10,238, tEnEnt                                                                                                                                              , **?**                            , codd. *MV Vergilii*       ,,, tenet                              , **F** *Pc* **?**       , codd. *PR?* *Vergilii* ,,,,,,,,,,,,,,,,,,,,,
10,238, et                                                                                                                                                  , **F ?**                          ,,,, *om*.                              , *Pb *                  ,,,,,,,,,,,,,,,,,,,,,,
10,238, diximus                                                                                                                                             , **?**                            ,,,, dixit                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,238, cata tosio pumenon                                                                                                                                  , **?**                            ,,,, catasiopemenon                     , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,238, quos                                                                                                                                                , **DS**                           , *Murgia*                  ,,, quas                               , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,244, et crastina lux                                                                                                                                     , *F *                             , *seclusit; Thilo*         ," *sed duo diversa scholia conflasse videtur Compilator: secundum hoc, subaudiendum ‘veniat’, secundum illud, ‘cum v enerit’; quod, ut infra* (Longus ait) *discimus, ex Longo descendit*. *sed, si recte iudico*, crastina*(1)*...tantum *et* alii...legit *ex* **D** *veniunt*, CrAstinA*(2)*...suspendendum *ex alio commentatore, qui fort. Servio et* **D** *usus est*. ",,,,,,,,,,,,,,,,,,,,,,,,,
10,244, est*(2)*                                                                                                                                            , **?**                            ,,,, haec est                           , **F** ?                ,,,,,,,,,,,,,,,,,,,,,,
10,244, lectio                                                                                                                                              , **F ?**                          ,,,, leccio                             , *J *                   ,,,,,,,,,,,,,,,,,,,,,,
10,244, inrita                                                                                                                                              , **?**                            ,,,, interita                           , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,244, putaris                                                                                                                                             , **?**                            ,,,, putarit                            , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,244, videbit                                                                                                                                             , **?** *Eh2 Pb Y W *              ,,,, videbis                            , *E N U* [**?**]      ,,, uideunt                                         , **F**                  ,,,,,,,,,,,,,,,,,,
10,244, o Aenea                                                                                                                                             , **?**                            ,,,, on ea                              , **F**                  ,,,,,,,,,,,,,,,,,,,,,,
10,244, nisi                                                                                                                                                ,, *Thilo*                   ,,, si                                 , **F ?**                ,,,,,,,,,,,,,,,,,,,,,,
10,244, Lucilius                                                                                                                                            ,, *Dan*.                    ,,, Lucilitis                          , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
10,244, nocte                                                                                                                                               ,, *Dan*.                    ,,, nocit                              , *F *                   ,,,,,,,,,,,,,,,,,,,,,,
