Verse,Line,Lemma,Witness,Source,Ed. Comment,Gen. Comment,Second R.,Witness,Source,Comment,Third R.,Witness,Source,Comment,Fourth R.,Witness,Source,Comment,Fifth R.,Witness,Source,Comment,,,,,,,,,,,,,
82,,incredibili,T v,,,,incredibi,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,rei(2),F ,,,,in re,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,cuius,F Pa Pc W ,,,,quibus,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,quam(1),Γ ,,,,quamquam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,quotiens,Γ ,,,,quotienscumque,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,montem,Γ ,,,,monte,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,debeat,γ ,,,,debet,F Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,Ripaei,τ ,,,,rifaei,F ,,,riphei,Γ ,,,rithei,N ,,,,,,,,,,,,,,,,,,,
82,,Arcadiae,F Γ ,,,,om.,γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,non,F Pa Pc σ ,,,,montes,Γ ,,,monte,Q ,,,,,,,,,,,,,,,,,,,,,,,
82,,cum(1),Γ ,,,,quam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,riphaeos,Γ ,,,,repheos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,NATE,Γ ,,,,nata,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,parens,F ,,,,cara parens,T ,,,Kara,v,,,,,,,,,,,,,,,,,,,,,,,
84,,POSCIT,N ,,,,post cit,F ,,,p.,Γ,,,om.,θ ,,,,,,,,,,,,,,,,,,,
84,,cuius,F Ah2 º ,,,,om.,θ Q [Γ ?],,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,beneficio,F Ah2 Eh2 Pb σ ,,,,beneficia,θ ,,,beneficii,Q [Γ ?],,,beneficiis,Pa Pc E ,,,,,,,,,,,,,,,,,,,
84,,filios,Γ ,,,,filios suo,F ,,,filios suos,(=DS) G ,,,,,,,,,,,,,,,,,,,,,,,
84,,esse,Γ ,,,,esse absumere,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,tuas,Γ ,,,,tua,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,tertii,,Thilo,,,tunc ii,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,catatosiopomenon,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,est ... deum,Γ ,,,,matris deum est,(=DS) F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,κάρα κάρας,S,,,,cara caras,S,,,cara caros,F Γ ,,,carta caros,γ ,,,κάρα κρατός,,edd.,,carcara,,Lact. Plac.,,,,,,,,,,
86,,κάρα est,F Γ ,,,,cara est,F Γ,,,cura est,Q Y ,,,,,,,,,,,,,,,,,,,,,,,
86,,κεφαλή,Γ ,,,,keφΛh,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,montis,Γ ,,,,montes,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,femininum,G ,,,,feminium,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,singulare iungitur,,Thilo,,,"s,ñgit¯",F ,,(= sed non giter [¯ super t litteram),singulare iungit,,Dan.,,,,,,,,,,,,,,,,,,,,,,
86,,aut(1),,Murgia,,,item,,Thilo,,et,,Dan.,,om.,F ,,,,,,,,,,,,,,,,,,,
86,,neutrum singulare ut,,Thilo,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,ite meae quondam,,Dan.,(e Verg.),,aeneae quodam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,ite capellae,,Masv.,(e Verg.),,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,femininis,,Dan.,,,feminis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,ut ... Insidiaeque,,Thilo,,,que,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,addit,,Dan.,,,addi,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,friges,T v,,,,frigas,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,urbes,,Verg.,,,urb:,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,Cretes,F ,,,,Cretenses,,,Serv. ad A. 3.106,,,,,,,,,,,,,,,,,,,,,,,,,
86,,immortalitatem petitura,,Dan.,,,inmostalitatem petura,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,quinque,Γ ,,,,y,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,pinos,Γ ,,,,pinus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,eum ... trabes,F Pa Pc W ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,conpositae,Γ ,,,,depositae,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,genetivus,,Dan.,,,dativus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,exclusit,Γ ,,,,excli sit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,est,Γ ,,,,est aut,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,exultantiaque,Γ ,,,,exulthatiaque,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,meos,tv,,,,in eos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,et esse,Γ ,,,,osse,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,ortas(1),Γ ,,,,horta,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,arcem,F,,fort. l. ‘arce’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,daret,,Dan.,,,dare,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,commodum,,Murgia,,,commodit,Fh2 ,,,commodid,F ,,,commoda,,Dan.,,animantium commodauit,,Thilo,dubitanter,,,,,,,,,,,,,
93,,QVI,F θ º,,,,que,Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,SIDERA MVNDI,F ,,,,s. m.,Pa Pc ,,,sim,Γ ,,,,,,,,,,,,,,,,,,,,,,,
94,,TRAHIS,Γ ,,,,uocas trahis,F ,,,uocas,,codd. Vergilii,sed cf. A. 5.709,,,,,,,,,,,,,,,,,,,,,
94,,quo,F º ,,,,quod,θ Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,istis utrum,,Dan.,,,sistis utrumque,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,nos,F Pa σ ,Hor.,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,animi,F Γ ,,,,animae,γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,sicuti,Γ ,Sall.,,,sicut,F γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,LVSTRET,F ,,,,l.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,a,Γ ,,,,om.,F N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,licentiam,Γ ,,,,licentia,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,DEO … POTESTAS,F ,,,,d. p. p.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,ne,F Γ ,,,,nec,Ah2 γ σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,regi quidem,Γ ,,,,rigi quidam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,permissa,,ex. Verg. Dan.,,,permisso,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,o tandem,Γ ,,,,tot andem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,magnis pelagi,F ,,,,m. p.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,defuncte periclis,Γ ,,,,defuncti deperidis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,nautico,Γ ,,,,natico,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,cum venerit,Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,quo,Γ ,,,,qua,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,evaserit(1) ... quaecumque,F ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,F,Γ ,,,,om.,F N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,dixit,Γ ,,,,dit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,nec,Γ ,,,,neo,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,sed ... inmortalis(2),F Pa Pc ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,ut(2),F ,,,,uti,Pa Pc ,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,DOTO,Γ ,,,,dota,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,PICE,Γ ,,,,tipe,F ,,,cipe,Q ,,,fice,N ,,,,,,,,,,,,,,,,,,,
106,,Homericum,,Dan.,,,homeritum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,μέγαν ... Ὄλυμπον,F ,,,,MЄΤΛΝ∆ЄΛЄΛΙZЄΝΟΛΙMΙΤΟΝ,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,scilicet,Γ,,,,scilicet et,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,ἀδίκημα ... iniustitia,Γ ,,,,aaΙKHMa ... iniustitia,Γ,,,id est iniustitia adikhma,F ,,,,,,,,,,,,,,,,,,,,,,,
108,,iniurius,F Γ ,,,,‘iniuria’s’,N,Isid. Plaut. Mil. 436,,iniuria est,W,codd. Plauti codd. Isidori,,iniurus,Pb ,,,,,,,,,,,,,,,,,,,
108,,audet,Γ,Isid.,,,audit,F,codd. AM Bern. Isidori,,aut,W ,,,,,,,,,,,,,,,,,,,,,,,
108,,quia,F Pa Pc W ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,fati,Pa Pc σ ,,,,faci,F Γ ,,(ex fact F ),facit,E Pb ,,,,,,,,,,,,,,,,,,,,,,,
108,,quod,,Com.,,,que,F ,,,quae,,,legi potest (quae necessitas scil.; nam sic fort. Compilator scripsit: contra necessitatem facit quae; sed difficile est scire utrum ineptiae ad Compilatorem an ad librarios referendae sint),,,,,,,,,,,,,,,,,,,,,
108,,compulerat,,Dan.,,,conpulerant,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,rationem,Γ ,,,,rectionem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,effulgens,Γ ,,,,legens,F ,,(ante quod spat. iv fere litterarum reliquit),,,,,,,,,,,,,,,,,,,,,,,,,
111,,ambit,,Dan.,,,abyt,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,vetavit,Γ ,,,,uetuit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,SACRAS,D,Verg.,,,sacrus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,a rege(1),D,,,,agere,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,adamatus,F ,,,,amatus,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,vim sibi videret,F ,,,,vi studeret,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,antistites,D,,,,antistes,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,maneret memoria,F ,,,,memoria maneret,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,ut(2),F ,,,,om.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,amputarent,G D,,,,ampotarent,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,cum,,Dan.,,,eum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,nymphis,,Dan.,,,nemphus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,genetrix iubet,Γ ,,,,genetris iuuet,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,et(3),F Pc ,,,,ut,F Pc,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,quia,,Dan.,,,que,F ,,,quae,Pc ,,,,,,,,,,,,,,,,,,,,,,,
117,,quas,,Verg.,,,quos,F Pc ,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,ex,,Dan.,,,et,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,fas,,Verg.,,,stas,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,cuiquam ... ferro,,Dan.,(e Verg.),,cuique et reliqua,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,amnis,,Dan.,,,amius,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,tale,Γ ,,,,talis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,quarto,Γ ,,,,quanto,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,antiquitas,Γ ,,,,antiquitus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,REVOCATQVE,Γ ,,,,revocatique,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,AB ALTO,Γ ,,,,ab alto ab alto,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,deum territum,Γ ,,,,tieum eritum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,Turno,,Dan.,,,turni,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,colore futuram,,Com.,,,loco refuturam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,illud,Γ ,,,,et illud,F (=DS),,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,e,Γ ,,,,de,F θ ,,,om.,γ ,,,,,,,,,,,,,,,,,,,,,,,
127,,eorum,F ,,,,quod eorum,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,hinc,,Dan.,,,ins,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,adpetunt,Γ ,,,,id est adpetunt,F (=DS),,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,hoc ... damnum hoc loco coll.,F ,,,,hoc ... damnum post adpetunt,,Dan.,,Troianorum pertinent damnum,D,,ex TROIANOS HAEC MONSTRA PETVNT,,,,,,,,,,,,,,,,,,,,,
128,,damnum,G ,,,,dannum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,omnibus,F ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,NEQVE,Γ,codd. FMPcr Vergilii,,,nec,F N,codd. Rω Vergilii,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,EX R.,Γ ,,,,om.,F N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,exspectant,Γ ,,,,et spectant,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,telis aut ignibus,Γ ,,,,ignibus aut telis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,perierunt,Γ ,,,,pergerunt,F ,,,perierant,W ,,,om.,Q ,,,,,,,,,,,,,,,,,,,
130,,quos,Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,DEMPTA,,cod. R Vergilii,,,D.,Γ ,,,om.,γ σ ,,,ADEMPTA,F,codd. FMP Vergilii,,,,,,,,,,,,,,,,,,
133,,et(1),,Dan.,,,ut,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,dicebant,F Γ ,,,,dicunt,Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,oratorium,F Γ ,,,,oratorum,θ Pb Y ,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,facile,θ τ [Γ ],,,,facilem,F γ σ L,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,solutionis,F Γ,,fort. l. solutiones (facilem legens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,PRAE SE,F ,,,,p. s.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,confingant,Γ ,,,,confringant,F ,,,fingant,τ ,,,confingunt,Lips.h2,teste Thilo,,,,,,,,,,,,,,,,,,
134,,aut,,Dan.,,,eam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,praeferunt,F T v,,(cf. Glossaria),,prae se ferunt,,Masv.,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,superari,,Murgia,,,supotare,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,possint,,Thilo,,,possent,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,sorte,,Dan.,,,forte,F,,fort. fato,,,,,,,,,,,,,,,,,,,,,,,,,
135,,sunt(1),F v,,,,sint,T ,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,tamen iam,F ,,,,tamen,v,,,iam,T ,,,,,,,,,,,,,,,,,,,,,,,
136,,in arte,Γ ,,,,incerte,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,uti mendatio,Γ ,,,,ut tamen datio,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,vere,Γ ,,,,vere,F,,post Turno,uero,Pa ,,,,,,,,,,,,,,,,,,,,,,,
136,,scire,Γ ,,,,scire si,F Pc ,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,utitur,Γ ,,,,iactus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,Helenam,DS,Dan.,,,halenam,F,,cf. Serv.,,,,,,,,,,,,,,,,,,,,,,,,,
138,,ATRIDAS,F σ ,,,,a.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,ISTE DOLOR,Γ ,,,,om.,F (=DS),,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,cur,Γ ,,,,cum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,similitudine,Γ ,,,,similitudinem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,repetitur,Γ ,,,,repetreur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,quasi,T v,,,,quas,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,ex,,Dan.,,,et,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,peccaverint,,Dan.,,,peccaverit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,GENVS … PEROSOS,F ,,,,g. o. p.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,F.,Γ ,,,,om.,F (=DS),,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,eos,Γ ,,,,neos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,decebat,Pc Q Pb σ ,,,,dicebat,θ Pa Eh1 ,,,oportebat,F ,,,,,,,,,,,,,,,,,,,,,,,
141,,autem,Γ ,,,,aut,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,inter,T v,,,,intra,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,sit,F ,,,,erat,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,dilatio,F Γ ,,,,dilacio: huius leti discrimina parua animos troianis,W ,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,AN,Γ ,,,,At,F ,,(quod legit antiquum commentum D ut verisimile est: cf. DS et est exemplum e. q. s. inf.),,,,,,,,,,,,,,,,,,,,,,,,,
144,,inceptiva,Γ ,,,,in captiva,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,Lacedaemona pastor,F ,,,,l. p.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,maiore,T v,,,,malore,F ,,(ut vid.),,,,,,,,,,,,,,,,,,,,,,,,,
144,,conflagrasse,,Dan.,,,conflagrasset,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,vallo,,Masv.,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,hac re lecti,,Murgia,(cf. iam Poletti 2015),,ac relicti,F ,,,acie lecti,,Dan.,,,,,,,,,,,,,,,,,,,,,,
146,,vallum(1),F Γ ,,,,om.,Pa Pc σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,autem,DS,Dan.,,,aut,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,fustes,Fh3 Γ,,,,fuste,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,munitur,Fh3 Γ ,,,,minitur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,primus vallos,F Γ ,,,,vallos primus,,Verg.,lemma Servii ad loc.,,,,,,,,,,,,,,,,,,,,,,,,,
146,,sub tecta,Γ,Verg.,,,subiecta,F E Y ,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,arripe,,Verg.,,,arripere,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,et,F Pc ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,ipse(1),Γ ,,,,ipsi,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,et(2) ... unda,Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,hoc,Γ ,,,,haec,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,quod,F ,,,,quia,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,et satis ... vincere,F Pc ,,hoc loco,,et satis ... vincere,,Thilo,post Troiano,satis ... vincere,D,,(ubi Compilator debuit: nam verisimile est ad hanc lineam [ad distvlit] satis ... vincere tantum exhibuisse D),,,,,,,,,,,,,,,,,,,,,
155,,quasi,Pc ,,,,quia si,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,ACTA,F Pc σ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,diei,,Schoell,(v. Thilo vol. 2.v),,dici,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,CORPORA,F ,,,,c.,γ ,,,om.,θ τ σ ,,,,,,,,,,,,,,,,,,,,,,,
157,,egerant,,Dan.,,,egerent,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,Troianos,Γ ,,,,roianos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,sociis,F Pa Pc Pb σ ,,,,socios,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,inferre terrorem,F Pa σ ,,,,infervorem,Γ ,,,inferre timorem,γ ,,,,,,,,,,,,,,,,,,,,,,,
158,,parari sperate,,Dan.,,,pararis parat,F ,,,parari,v,,,,,,,,,,,,,,,,,,,,,,,
162,,QVEMQVE,Γ ,,,,quamque,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,SEQVVNTVR,F,Verg.,,,s.,Γ ,,,secuti,,cod. R Vergilii,,om.,γ N ,,,,,,,,,,,,,,,,,,,
163,,PVRPVREIS,F ,,,,purpurei,,Verg.,Serv. ad A . 10.722,,,,,,,,,,,,,,,,,,,,,,,,,
165,,ni,,Dan.,,,in,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,ex ... habeat fiducia,,,notandum quod hoc commentum ineleganter cum antecedente commento coniunxit Compilator: unde Thilo ante ex interpolavit indvlgent vino; sed hoc ordine Compilator scribere debuit: INDVLGENT VINO ex fiducia ... habeat fiducia. vino autem ablativus casus ... figuratum est.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,CRATERAS AENOS,F ,,,,c. a.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,pro,F ,,,,de,T ,,,ex,v,,,e,Dan.,,,,,,,,,,,,,,,,,,,
170,,angustioribus,F A º ,,,,augustioribus,O Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,ut ... partes,F Pah2 Pc ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,pinnas,F T v Pah2 Pc,Isid.,,,pilas,Γ ,,,primas,W ,,,,,,,,,,,,,,,,,,,,,,,
170,,murorum,F T v Pah2 Pc,Isid.,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,et iuveni,Γ,,(cf. Tib.),,et iuuenis,F τ W ,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,si iuveni,Γ ,,,,om.,F N ,,,si iuuenis,v Pa Pc ,,,iuneni,W ,,(sic),,,,,,,,,,,,,,,,,
173,,Ascanio,Γ ,,,,ascanium,F Pa Pc ,,,om.,Pc 1,,,ascanii,v,,,,,,,,,,,,,,,,,,,
174,,pericli,Γ ,,,,periculi,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,partiens,,Murgia,,,parturiens,F ,,,partimens,T ,,,,,,,,,,,,,,,,,,,,,,,
175,,TVENDVM,Pa Pc σ ,,,,tuend.,Q [Γ ],,,tuendo,F ,,,tuendi,θ ,,,tuendum est,γ,codd. Vergilii,,,,,,,,,,,,,,
175,,accipit,F Γ ,,,,accepit,τ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,dictam,Γ ,,,,dicta,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,qua,Γ ,,,,quia,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,NEQVE,Γ,codd. Mh2 PRbchr Vergilii,,,nec,F,codd. Mh1 ω Vergilii,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,INDVIT ARMA,F ,,,,i. a.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,quidem,Γ ,,,,quidam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,rettulit,,Dan.,,,rectulit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,heroes,,Dan.,,,heraes vel heroes,F ,,ex herues,,,,,,,,,,,,,,,,,,,,,,,,,
182,,eodem,T v,,,,eorum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,et,F ,,,,aut,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,id est(2),F ,,,,om.,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,AN … D. C.,Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,Plotinum,Γ ,,,,plotinam,F ,,,plutinum,O ,,,plonitum,N ,,,,,,,,,,,,,,,,,,,
184,,prava vero,Γ ,,,,probauero,F ,,,prabauero,Fh3 ,,,,,,,,,,,,,,,,,,,,,,,
184,,prava(2),Γ ,,,,proba,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,nunc,Γ ,,,,hunc,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,dicit,Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,o,Γ ,,,,om.,F Pa ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,cupiditates(2),Γ ,,,,cupidates,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,ipsa,F Ah2,,,,ipse,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,sui,F Γ,,fort. l. sua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,desideret,Γ ,,,,desideraret,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,nonnulli ... confundunt,F ,,hoc loco,,nonnulli ... confundunt ,,Dan.,"post 185 magna, nam ad 185 CVPIDO pertinet",,,,,,,,,,,,,,,,,,,,,,,,,
184,,cupiditatem(1),G ,,,,cupidatem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,τὸν ῎Ερωτα,,Dan.,,,θωνcΡωθ∆,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
