Verse,Line,Lemma,Witness,Source,Ed. Comment,Gen. Comment,Second R.,Witness,Source,Comment,Third R.,Witness,Source,Comment,Fourth R.,Witness,Source,Comment,Fifth R.,Witness,Source,Comment,,,,,,,,,,,,,
8,,quae est,F ,,,,de qua,Bod.,,cf. Serv. ad A. 1.5,,,,,,,,,,,,,,,,,,,,,,,,,
8,,in septimo,Bod.,,,,tutam,F ,,sed prim. t fort. in ras.,,,,,,,,,,,,,,,,,,,,,,,,,
8,,ipse,F ,,,,commemorat ipse,Bod.,,fort. ait ipse (de qua pro quae est legens),,,,,,,,,,,,,,,,,,,,,,,,,
8,,Castrum,,Com.,,,castrim,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,dici,F ,,,,deci,Fc,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,SATIS,Γ ,,,,sati,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,in,F ,,,,om.,,Dan.,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,qui,Γ ,,,,qui,O,,fort. ex quae ,quia,F γ ,,,,,,,,,,,,,,,,,,,,,,,
11,,pertinent,T ,,,,pertinet,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,CASTRA,F ,,,,c.,Γ ,,,t,Q ,,,om.,γ ,,,,,,,,,,,,,,,,,,,
13,,aut(4),,Dan.,,,autem aut,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,ALIS,,Verg.,,,aliis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,NVBIBVS,Γ ,,,,nibibus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,sectus,F Γ ,,,,sectatus,W ,,,secutus,γ ,,,,,,,,,,,,,,,,,,,,,,,
15,,est,F Γ ,,,,om.,Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,esset,Γ ,,,,esse,Q ,,,sit,F ,,,,,,,,,,,,,,,,,,,,,,,
16,,actam unde,Γ ,,,,actit munde,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,apparet eum,,Dan.,,,apperet eam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Iris,Γ ,,,,ipsis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,eius,Γ ,,,,cuius,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,abscessum,Γ ,,,,abscissum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,τῶν μέσων,Γ ,,,,ton meson,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,DISCEDERE,Γ ,,,,Discere,F ,,,Discindere,W ,,,,,,,,,,,,,,,,,,,,,,,
20,,recessum per,Γ ,,,,seces super,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,vult videri,Γ ,,,,uul uidere,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Irim,W ,,,,inter chas marim,F ,,,casmatrim,θ [Γ ],,,casmatri,Q ,,,chasma tum irin,γ ,,,c(h)asma,Pa Pc,,,chasma,Pa Pc,,,chasma irim,N ,,(chasma vel inter chasma glossema fuisse videtur ad per quod),
20,,unde est,Γ ,,,,unde est et,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,medio,Γ ,,,,mdio,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,fierent,,Masv.,(errat Thilo cum dicit cod. R fierent exhibere),,fieret,F Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,et nimium splendorem,F Pa Pc ,,,,et nimium altiorem,Γ Ec,,,om.,E ,,,,,,,,,,,,,,,,,,,,,,,
20,,quidam(1),Γ ,,,,quedam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,recessus,F Γ ,,,,discessus,γ ,,,hiatus,,Plin.,,,,,,,,,,,,,,,,,,,,,,
20,,ostenta,,Dan.,,,est emta,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,discessisse,,Thilo,,,discisse,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,POLO,F ,,,,p.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,perpetuum,G ,,,,perpetum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,OMINA,Γ ,,,,Omnia,F A,cod. a Vergilii,,omna,N ,,,,,,,,,,,,,,,,,,,,,,,
21,,hic,,Masv.,,,haec,F ,,,hoc loco,T ,,,,,,,,,,,,,,,,,,,,,,,
24,,morem,Γ ,,,,morum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,et fusis,Γ ,,,,effusis,F ,,,effusis et,N ,,,,,,,,,,,,,,,,,,,,,,,
24,,promitterent ... aquae,F Γ ,,,,pro,Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,intercessu,Γ ,,,,intercessum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,non ... exitum,F Pa Pc W ,,,,quod aquae intercessu dirrumpitur,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,nec,F Pa Pc ,,,,nam,W ,,,loc. om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,
24,,firmum,F Γ ,,,,infirmum,W ,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,ales,Γ ,,,,alis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Turnus,Γ ,,,,turnum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,CAMPIS … APERTIS,,Verg.,,,Campis exercitus uel apertis,Pah2,,,campis,F ,,,c. e. i. a.,Γ ,,,,,,,,,,,,,,,,,,,
25,,sit,Γ ,,,,sic,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,sequentium,F Ah2 Pa Pc W ,,,,sequentium in,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,suos ... alveos(2),Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,dicere,θ Pa Pc γ W ,,,,dici post camporum inundationem in alveos suos reuerti. Nam hoc uult dicere,Q ,,,dici post camporum inundationem,N ,,,loc. om.,F ,,,,,,,,,,,,,,,,,,,
25,,sic,Γ ,,,,si,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,filia lucos,,Dan.,(e Verg.),,et reliqua,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Melam,,Masv.,,,melonem,Γ ,,,Mel///,Pah2,,,meolonem,F ,,,milonem,σ ,,"(credi autem potest Servium ipsum errasse, si nomen ‘Mela’ in suo fonte ‘Melo’ legit; sed ‘Melonem’ (fort. ex Serv. ad A . 1.741 invasit)",,,,,,,,,,,,,
30,,iungens,θ Pa Pc γ W ,,,,iunges,F Q N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,altus per tacitum superioribus verbis coniungunt,F Γ ,,,,inferioribus verbis coniungunt,θ σ ,edd. plerique,(quasi lemma),,,,,,,,,,,,,,,,,,,,,,,,,
30,,altus(2),F Γ ,,,,altum,Pa ,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,per profundam,Γ ,,,,perfundam,F ,,,profundam,F c,,,,,,,,,,,,,,,,,,,,,,,
30,,tacitus,,Murgia,"(sed cf. infra ad ut Nilus superfunditur, ubi quae Q exhibit e tacit’unilussuperfunditur fort. exorta sunt)",,om.,F Γ,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,crescat,F θ Pa Pc γ W,,,,crescant,Q N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,nec,F Γ,,,,om.,Pa ,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,ut Nilus superfunditur,F Pc ,,,,tatitum iussu perfunditur,Q [Γ ],,,iussu perfunditur,θ N ,,,superfunditur,γ ,,,ut Nilus perfunditur,Pa W ,,,,,,,,,,,,,,,
30,,agmina,F ,,,,post agmina,,Murgia,(sunt subaudiens),post dicit,,Dan.,(qua distinctione agmen mallem),,,,,,,,,,,,,,,,,,,,,
30,,nam,,Murgia,(scribi potest et <sunt nam> vel <dicimus nam> vel <dicta nam> vel <dici possunt nam>: cf. N on. 739.26),,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,agmine Thybris,,Verg.,,,agmina thribris,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
