Book, Verse , Lemma                                                                                                                                 , Witness                        , Source                         , Ed. Comment                                                                                                                , Gen. Comment , Second R.                                                                   , Witness                           , Source                          , Comment                                                                                                                                       , Third R.                        , Witness          , Source           , Comment                             , Fourth R.          , Witness     , Source , Comment                    , Fifth R.              , Witness , Source  , Comment                                                                                                                                           , Fifth R. , Witness     , Source        , Comment , Sixth R. , Witness , Source , Comment , Seventh R.  , Witness , Source , Comment                                                           
9,4, lucus(1)                                                                                                                              , **F Γ **                       ,,,, locus                                                                       , *Q Pb Y N *                       ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4, Mostellaria                                                                                                                           ,, *Dan.*                         ,,, monte laria                                                                 , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4, captabantur                                                                                                                           , **F** *Pa Pc W *               ,,,, captantur                                                                   , *Pb Y *                           ,,, captare namque                  , **Γ **           ,,, captantur namque   , *E vel Eh2* ,,,,,,,,,,,,,,,,,,
9,4, succinctus                                                                                                                            ,,,,, succintus                                                                   , *W*                               ,,, sua intus                       , **F **           ,,, s                  , **Γ **      ,,, sede                  , γ       ,,, *om.*    , *Ah2* *Pa * ,,,,,,,,,,
9,4, sacratae                                                                                                                              ,, *Dan.*                         ,,, se sacratae                                                                 , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4, debet                                                                                                                                 ,, *Dan.*                         ,,, debat                                                                       , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4, consilia(1)                                                                                                                           , *F *                           ,,,, qui consilia                                                                ,, *Masv.*                         ,,,,,,,,,,,,,,,,,,,,,,,,,
9,4, *                                                                                                                                    ,, Murgia                         , *lacunam indicavi tali modo inplerem:* nam erat mos apud antiquos ut                                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4, sciret                                                                                                                                ,, *Dan.*                         ,,, stiret                                                                      , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4, haberi                                                                                                                                ,, *Dan.*                         ,,, habire                                                                      , *F *                              ,, *ex habere*                                                                                                                                   ,,,,,,,,,,,,,,,,,,,,,,,,
9,4, consilia(2)                                                                                                                           ,, *Dan.*                         ,,, considia                                                                    , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5, Thaumantis                                                                                                                            , º                              ,,,, thumantis                                                                   , θ *Q *                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5, quia                                                                                                                                  ,, *Burm.*                        ,,, quae                                                                        , **Γ **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6, PROMITTERE                                                                                                                            , **F **                         ,,,, p.                                                                          , **Γ **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6, nullus                                                                                                                                , *F<sup>c </sup>***Γ **         ,,,, nullis                                                                      , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6, est acyrologia                                                                                                                        , **Γ **                         ,,,, est acyrilongia                                                             , *F<sup>c</sup>*                   ,,, stacyrilongea                   , **F**            ,,,,,,,,,,,,,,,,,,,,,,
